,series_id,date,value
505,AAA10Y,2019-12-10 0:00:00,1.15
506,AAA10Y,2019-12-11 0:00:00,1.18
507,AAA10Y,2019-12-12 0:00:00,1.15
508,AAA10Y,2019-12-13 0:00:00,1.15
509,AAA10Y,2019-12-16 0:00:00,1.13
510,AAA10Y,2019-12-17 0:00:00,1.1
511,AAA10Y,2019-12-18 0:00:00,1.11
512,AAA10Y,2019-12-19 0:00:00,1.09
513,AAA10Y,2019-12-20 0:00:00,1.09
514,AAA10Y,2019-12-23 0:00:00,1.09
515,AAA10Y,2019-12-24 0:00:00,1.09
516,AAA10Y,2019-12-25 0:00:00,
517,AAA10Y,2019-12-26 0:00:00,1.1
518,AAA10Y,2019-12-27 0:00:00,1.1
519,AAA10Y,2019-12-30 0:00:00,1.12
520,AAA10Y,2019-12-31 0:00:00,1.12
521,AAA10Y,2020-01-01 0:00:00,
522,AAA10Y,2020-01-02 0:00:00,1.12
523,AAA10Y,2020-01-03 0:00:00,1.14
524,AAA10Y,2020-01-06 0:00:00,1.2
525,AAA10Y,2020-01-07 0:00:00,1.19
526,AAA10Y,2020-01-08 0:00:00,1.23
527,AAA10Y,2020-01-09 0:00:00,1.19
528,AAA10Y,2020-01-10 0:00:00,1.16
835,ASEANTOT,2020-01-01 0:00:00,97.6
1349,BAA10Y,2019-12-10 0:00:00,2.01
1350,BAA10Y,2019-12-11 0:00:00,2.04
1351,BAA10Y,2019-12-12 0:00:00,2.02
1352,BAA10Y,2019-12-13 0:00:00,2.02
1353,BAA10Y,2019-12-16 0:00:00,2
1354,BAA10Y,2019-12-17 0:00:00,1.99
1355,BAA10Y,2019-12-18 0:00:00,1.98
1356,BAA10Y,2019-12-19 0:00:00,1.96
1357,BAA10Y,2019-12-20 0:00:00,1.96
1358,BAA10Y,2019-12-23 0:00:00,1.96
1359,BAA10Y,2019-12-24 0:00:00,1.97
1360,BAA10Y,2019-12-25 0:00:00,
1361,BAA10Y,2019-12-26 0:00:00,1.97
1362,BAA10Y,2019-12-27 0:00:00,1.96
1363,BAA10Y,2019-12-30 0:00:00,1.97
1364,BAA10Y,2019-12-31 0:00:00,1.98
1365,BAA10Y,2020-01-01 0:00:00,
1366,BAA10Y,2020-01-02 0:00:00,1.98
1367,BAA10Y,2020-01-03 0:00:00,1.99
1368,BAA10Y,2020-01-06 0:00:00,2.02
1369,BAA10Y,2020-01-07 0:00:00,2.03
1370,BAA10Y,2020-01-08 0:00:00,2.05
1371,BAA10Y,2020-01-09 0:00:00,2.03
1372,BAA10Y,2020-01-10 0:00:00,1.99
1757,BUSAPPWNSAUS,2019-12-14 0:00:00,62560
1758,BUSAPPWNSAUS,2019-12-21 0:00:00,64350
1759,BUSAPPWNSAUS,2019-12-28 0:00:00,41950
1760,BUSAPPWNSAUS,2020-01-04 0:00:00,30670
1913,BUSAPPWNSAUSYY,2019-12-14 0:00:00,-0.9
1914,BUSAPPWNSAUSYY,2019-12-21 0:00:00,0.77
1915,BUSAPPWNSAUSYY,2019-12-28 0:00:00,39.74
1916,BUSAPPWNSAUSYY,2020-01-04 0:00:00,-35.9
2069,CBUSAPPWNSAUS,2019-12-14 0:00:00,10160
2070,CBUSAPPWNSAUS,2019-12-21 0:00:00,10840
2071,CBUSAPPWNSAUS,2019-12-28 0:00:00,7120
2072,CBUSAPPWNSAUS,2020-01-04 0:00:00,5140
2225,CBUSAPPWNSAUSYY,2019-12-14 0:00:00,-1.45
2226,CBUSAPPWNSAUSYY,2019-12-21 0:00:00,0.74
2227,CBUSAPPWNSAUSYY,2019-12-28 0:00:00,42.12
2228,CBUSAPPWNSAUSYY,2020-01-04 0:00:00,-39.39
2303,CUUR0000SA0R,2020-01-01 0:00:00,38.8
2812,DEXCHUS,2019-12-10 0:00:00,7.0328
2813,DEXCHUS,2019-12-11 0:00:00,7.0384
2814,DEXCHUS,2019-12-12 0:00:00,6.9925
2815,DEXCHUS,2019-12-13 0:00:00,6.9925
2816,DEXCHUS,2019-12-16 0:00:00,6.9921
2817,DEXCHUS,2019-12-17 0:00:00,6.9967
2818,DEXCHUS,2019-12-18 0:00:00,7.0029
2819,DEXCHUS,2019-12-19 0:00:00,7.0097
2820,DEXCHUS,2019-12-20 0:00:00,7.0063
2821,DEXCHUS,2019-12-23 0:00:00,7.0124
2822,DEXCHUS,2019-12-24 0:00:00,7.0064
2823,DEXCHUS,2019-12-25 0:00:00,
2824,DEXCHUS,2019-12-26 0:00:00,6.9949
2825,DEXCHUS,2019-12-27 0:00:00,6.9954
2826,DEXCHUS,2019-12-30 0:00:00,6.9864
2827,DEXCHUS,2019-12-31 0:00:00,6.9618
2828,DEXCHUS,2020-01-01 0:00:00,
2829,DEXCHUS,2020-01-02 0:00:00,6.9642
2830,DEXCHUS,2020-01-03 0:00:00,6.9649
2831,DEXCHUS,2020-01-06 0:00:00,6.9749
2832,DEXCHUS,2020-01-07 0:00:00,6.9443
2833,DEXCHUS,2020-01-08 0:00:00,6.9447
2834,DEXCHUS,2020-01-09 0:00:00,6.9309
2835,DEXCHUS,2020-01-10 0:00:00,6.9178
3621,DEXUSEU,2019-12-10 0:00:00,1.109
3622,DEXUSEU,2019-12-11 0:00:00,1.1092
3623,DEXUSEU,2019-12-12 0:00:00,1.1115
3624,DEXUSEU,2019-12-13 0:00:00,1.1128
3625,DEXUSEU,2019-12-16 0:00:00,1.1139
3626,DEXUSEU,2019-12-17 0:00:00,1.1148
3627,DEXUSEU,2019-12-18 0:00:00,1.1113
3628,DEXUSEU,2019-12-19 0:00:00,1.1128
3629,DEXUSEU,2019-12-20 0:00:00,1.1076
3630,DEXUSEU,2019-12-23 0:00:00,1.1091
3631,DEXUSEU,2019-12-24 0:00:00,1.1084
3632,DEXUSEU,2019-12-25 0:00:00,
3633,DEXUSEU,2019-12-26 0:00:00,1.1102
3634,DEXUSEU,2019-12-27 0:00:00,1.1174
3635,DEXUSEU,2019-12-30 0:00:00,1.1217
3636,DEXUSEU,2019-12-31 0:00:00,1.1227
3637,DEXUSEU,2020-01-01 0:00:00,
3638,DEXUSEU,2020-01-02 0:00:00,1.1166
3639,DEXUSEU,2020-01-03 0:00:00,1.1173
3640,DEXUSEU,2020-01-06 0:00:00,1.1187
3641,DEXUSEU,2020-01-07 0:00:00,1.1138
3642,DEXUSEU,2020-01-08 0:00:00,1.1117
3643,DEXUSEU,2020-01-09 0:00:00,1.1106
3644,DEXUSEU,2020-01-10 0:00:00,1.1119
4430,DEXUSUK,2019-12-10 0:00:00,1.3178
4431,DEXUSUK,2019-12-11 0:00:00,1.3176
4432,DEXUSUK,2019-12-12 0:00:00,1.3133
4433,DEXUSUK,2019-12-13 0:00:00,1.3349
4434,DEXUSUK,2019-12-16 0:00:00,1.333
4435,DEXUSUK,2019-12-17 0:00:00,1.3116
4436,DEXUSUK,2019-12-18 0:00:00,1.3078
4437,DEXUSUK,2019-12-19 0:00:00,1.3034
4438,DEXUSUK,2019-12-20 0:00:00,1.3036
4439,DEXUSUK,2019-12-23 0:00:00,1.2917
4440,DEXUSUK,2019-12-24 0:00:00,1.2955
4441,DEXUSUK,2019-12-25 0:00:00,
4442,DEXUSUK,2019-12-26 0:00:00,1.3007
4443,DEXUSUK,2019-12-27 0:00:00,1.309
4444,DEXUSUK,2019-12-30 0:00:00,1.314
4445,DEXUSUK,2019-12-31 0:00:00,1.3269
4446,DEXUSUK,2020-01-01 0:00:00,
4447,DEXUSUK,2020-01-02 0:00:00,1.3128
4448,DEXUSUK,2020-01-03 0:00:00,1.3091
4449,DEXUSUK,2020-01-06 0:00:00,1.3163
4450,DEXUSUK,2020-01-07 0:00:00,1.3127
4451,DEXUSUK,2020-01-08 0:00:00,1.311
4452,DEXUSUK,2020-01-09 0:00:00,1.3069
4453,DEXUSUK,2020-01-10 0:00:00,1.306
5239,DFII10,2019-12-10 0:00:00,0.14
5240,DFII10,2019-12-11 0:00:00,0.1
5241,DFII10,2019-12-12 0:00:00,0.18
5242,DFII10,2019-12-13 0:00:00,0.12
5243,DFII10,2019-12-16 0:00:00,0.16
5244,DFII10,2019-12-17 0:00:00,0.14
5245,DFII10,2019-12-18 0:00:00,0.16
5246,DFII10,2019-12-19 0:00:00,0.15
5247,DFII10,2019-12-20 0:00:00,0.15
5248,DFII10,2019-12-23 0:00:00,0.18
5249,DFII10,2019-12-24 0:00:00,0.15
5250,DFII10,2019-12-25 0:00:00,
5251,DFII10,2019-12-26 0:00:00,0.16
5252,DFII10,2019-12-27 0:00:00,0.15
5253,DFII10,2019-12-30 0:00:00,0.15
5254,DFII10,2019-12-31 0:00:00,0.15
5255,DFII10,2020-01-01 0:00:00,
5256,DFII10,2020-01-02 0:00:00,0.08
5257,DFII10,2020-01-03 0:00:00,0.03
5258,DFII10,2020-01-06 0:00:00,0.06
5259,DFII10,2020-01-07 0:00:00,0.09
5260,DFII10,2020-01-08 0:00:00,0.12
5261,DFII10,2020-01-09 0:00:00,0.11
5262,DFII10,2020-01-10 0:00:00,0.07
6051,DFII20,2019-12-10 0:00:00,0.33
6052,DFII20,2019-12-11 0:00:00,0.3
6053,DFII20,2019-12-12 0:00:00,0.37
6054,DFII20,2019-12-13 0:00:00,0.32
6055,DFII20,2019-12-16 0:00:00,0.35
6056,DFII20,2019-12-17 0:00:00,0.34
6057,DFII20,2019-12-18 0:00:00,0.36
6058,DFII20,2019-12-19 0:00:00,0.34
6059,DFII20,2019-12-20 0:00:00,0.35
6060,DFII20,2019-12-23 0:00:00,0.37
6061,DFII20,2019-12-24 0:00:00,0.35
6062,DFII20,2019-12-25 0:00:00,
6063,DFII20,2019-12-26 0:00:00,0.36
6064,DFII20,2019-12-27 0:00:00,0.36
6065,DFII20,2019-12-30 0:00:00,0.38
6066,DFII20,2019-12-31 0:00:00,0.39
