,series_id,date,value
523,AAA10Y,2020-01-03 00:00:00.0000000,1.14
524,AAA10Y,2020-01-06 00:00:00.0000000,1.2
525,AAA10Y,2020-01-07 00:00:00.0000000,1.19
526,AAA10Y,2020-01-08 00:00:00.0000000,1.23
527,AAA10Y,2020-01-09 00:00:00.0000000,1.19
528,AAA10Y,2020-01-10 00:00:00.0000000,1.16
1367,BAA10Y,2020-01-03 00:00:00.0000000,1.99
1368,BAA10Y,2020-01-06 00:00:00.0000000,2.02
1369,BAA10Y,2020-01-07 00:00:00.0000000,2.03
1370,BAA10Y,2020-01-08 00:00:00.0000000,2.05
1371,BAA10Y,2020-01-09 00:00:00.0000000,2.03
1372,BAA10Y,2020-01-10 00:00:00.0000000,1.99
1760,BUSAPPWNSAUS,2020-01-04 00:00:00.0000000,30670.0
1916,BUSAPPWNSAUSYY,2020-01-04 00:00:00.0000000,-35.9
2072,CBUSAPPWNSAUS,2020-01-04 00:00:00.0000000,5140.0
2228,CBUSAPPWNSAUSYY,2020-01-04 00:00:00.0000000,-39.39
2830,DEXCHUS,2020-01-03 00:00:00.0000000,6.9649
2831,DEXCHUS,2020-01-06 00:00:00.0000000,6.9749
2832,DEXCHUS,2020-01-07 00:00:00.0000000,6.9443
2833,DEXCHUS,2020-01-08 00:00:00.0000000,6.9447
2834,DEXCHUS,2020-01-09 00:00:00.0000000,6.9309
2835,DEXCHUS,2020-01-10 00:00:00.0000000,6.9178
3639,DEXUSEU,2020-01-03 00:00:00.0000000,1.1173
3640,DEXUSEU,2020-01-06 00:00:00.0000000,1.1187
3641,DEXUSEU,2020-01-07 00:00:00.0000000,1.1138
3642,DEXUSEU,2020-01-08 00:00:00.0000000,1.1117
3643,DEXUSEU,2020-01-09 00:00:00.0000000,1.1106
3644,DEXUSEU,2020-01-10 00:00:00.0000000,1.1119
4448,DEXUSUK,2020-01-03 00:00:00.0000000,1.3091
4449,DEXUSUK,2020-01-06 00:00:00.0000000,1.3163
4450,DEXUSUK,2020-01-07 00:00:00.0000000,1.3127
4451,DEXUSUK,2020-01-08 00:00:00.0000000,1.311
4452,DEXUSUK,2020-01-09 00:00:00.0000000,1.3069
4453,DEXUSUK,2020-01-10 00:00:00.0000000,1.306
5257,DFII10,2020-01-03 00:00:00.0000000,0.03
5258,DFII10,2020-01-06 00:00:00.0000000,0.06
5259,DFII10,2020-01-07 00:00:00.0000000,0.09
5260,DFII10,2020-01-08 00:00:00.0000000,0.12
5261,DFII10,2020-01-09 00:00:00.0000000,0.11
5262,DFII10,2020-01-10 00:00:00.0000000,0.07
6069,DFII20,2020-01-03 00:00:00.0000000,0.26
6070,DFII20,2020-01-06 00:00:00.0000000,0.29
6071,DFII20,2020-01-07 00:00:00.0000000,0.33
6072,DFII20,2020-01-08 00:00:00.0000000,0.35
6073,DFII20,2020-01-09 00:00:00.0000000,0.33
6074,DFII20,2020-01-10 00:00:00.0000000,0.29
6881,DFII30,2020-01-03 00:00:00.0000000,0.45
6882,DFII30,2020-01-06 00:00:00.0000000,0.48
6883,DFII30,2020-01-07 00:00:00.0000000,0.52
6884,DFII30,2020-01-08 00:00:00.0000000,0.54
6885,DFII30,2020-01-09 00:00:00.0000000,0.52
6886,DFII30,2020-01-10 00:00:00.0000000,0.47
7693,DFII5,2020-01-03 00:00:00.0000000,-0.1
