,series_id,date,value
267,AAA10Y,2019-01-10 00:00:00.0000000,1.24
268,AAA10Y,2019-01-11 00:00:00.0000000,1.25
269,AAA10Y,2019-01-14 00:00:00.0000000,1.29
270,AAA10Y,2019-01-15 00:00:00.0000000,1.27
271,AAA10Y,2019-01-16 00:00:00.0000000,1.27
272,AAA10Y,2019-01-17 00:00:00.0000000,1.25
273,AAA10Y,2019-01-18 00:00:00.0000000,1.17
274,AAA10Y,2019-01-21 00:00:00.0000000,
275,AAA10Y,2019-01-22 00:00:00.0000000,1.18
276,AAA10Y,2019-01-23 00:00:00.0000000,1.13
277,AAA10Y,2019-01-24 00:00:00.0000000,1.14
278,AAA10Y,2019-01-25 00:00:00.0000000,1.1
279,AAA10Y,2019-01-28 00:00:00.0000000,1.12
280,AAA10Y,2019-01-29 00:00:00.0000000,1.13
281,AAA10Y,2019-01-30 00:00:00.0000000,1.15
282,AAA10Y,2019-01-31 00:00:00.0000000,1.16
283,AAA10Y,2019-02-01 00:00:00.0000000,1.11
284,AAA10Y,2019-02-04 00:00:00.0000000,1.1
285,AAA10Y,2019-02-05 00:00:00.0000000,1.08
286,AAA10Y,2019-02-06 00:00:00.0000000,1.08
287,AAA10Y,2019-02-07 00:00:00.0000000,1.1
288,AAA10Y,2019-02-08 00:00:00.0000000,1.14
289,AAA10Y,2019-02-11 00:00:00.0000000,1.11
290,AAA10Y,2019-02-12 00:00:00.0000000,1.12
291,AAA10Y,2019-02-13 00:00:00.0000000,1.07
292,AAA10Y,2019-02-14 00:00:00.0000000,1.11
293,AAA10Y,2019-02-15 00:00:00.0000000,1.1
294,AAA10Y,2019-02-18 00:00:00.0000000,
295,AAA10Y,2019-02-19 00:00:00.0000000,1.09
296,AAA10Y,2019-02-20 00:00:00.0000000,1.11
297,AAA10Y,2019-02-21 00:00:00.0000000,1.12
298,AAA10Y,2019-02-22 00:00:00.0000000,1.16
299,AAA10Y,2019-02-25 00:00:00.0000000,1.13
300,AAA10Y,2019-02-26 00:00:00.0000000,1.14
301,AAA10Y,2019-02-27 00:00:00.0000000,1.16
302,AAA10Y,2019-02-28 00:00:00.0000000,1.13
303,AAA10Y,2019-03-01 00:00:00.0000000,1.14
304,AAA10Y,2019-03-04 00:00:00.0000000,1.15
305,AAA10Y,2019-03-05 00:00:00.0000000,1.15
306,AAA10Y,2019-03-06 00:00:00.0000000,1.17
307,AAA10Y,2019-03-07 00:00:00.0000000,1.18
308,AAA10Y,2019-03-08 00:00:00.0000000,1.2
309,AAA10Y,2019-03-11 00:00:00.0000000,1.21
310,AAA10Y,2019-03-12 00:00:00.0000000,1.19
311,AAA10Y,2019-03-13 00:00:00.0000000,1.19
312,AAA10Y,2019-03-14 00:00:00.0000000,1.21
313,AAA10Y,2019-03-15 00:00:00.0000000,1.23
314,AAA10Y,2019-03-18 00:00:00.0000000,1.22
315,AAA10Y,2019-03-19 00:00:00.0000000,1.21
316,AAA10Y,2019-03-20 00:00:00.0000000,1.24
317,AAA10Y,2019-03-21 00:00:00.0000000,1.21
318,AAA10Y,2019-03-22 00:00:00.0000000,1.23
319,AAA10Y,2019-03-25 00:00:00.0000000,1.24
320,AAA10Y,2019-03-26 00:00:00.0000000,1.23
321,AAA10Y,2019-03-27 00:00:00.0000000,1.23
322,AAA10Y,2019-03-28 00:00:00.0000000,1.22
323,AAA10Y,2019-03-29 00:00:00.0000000,1.21
324,AAA10Y,2019-04-01 00:00:00.0000000,1.19
325,AAA10Y,2019-04-02 00:00:00.0000000,1.18
326,AAA10Y,2019-04-03 00:00:00.0000000,1.17
327,AAA10Y,2019-04-04 00:00:00.0000000,1.19
328,AAA10Y,2019-04-05 00:00:00.0000000,1.17
329,AAA10Y,2019-04-08 00:00:00.0000000,1.17
330,AAA10Y,2019-04-09 00:00:00.0000000,1.16
331,AAA10Y,2019-04-10 00:00:00.0000000,1.17
332,AAA10Y,2019-04-11 00:00:00.0000000,1.17
333,AAA10Y,2019-04-12 00:00:00.0000000,1.15
334,AAA10Y,2019-04-15 00:00:00.0000000,1.13
335,AAA10Y,2019-04-16 00:00:00.0000000,1.13
336,AAA10Y,2019-04-17 00:00:00.0000000,1.13
337,AAA10Y,2019-04-18 00:00:00.0000000,1.12
338,AAA10Y,2019-04-19 00:00:00.0000000,
339,AAA10Y,2019-04-22 00:00:00.0000000,1.16
340,AAA10Y,2019-04-23 00:00:00.0000000,1.16
341,AAA10Y,2019-04-24 00:00:00.0000000,1.16
342,AAA10Y,2019-04-25 00:00:00.0000000,1.15
343,AAA10Y,2019-04-26 00:00:00.0000000,1.18
344,AAA10Y,2019-04-29 00:00:00.0000000,1.17
345,AAA10Y,2019-04-30 00:00:00.0000000,1.2
346,AAA10Y,2019-05-01 00:00:00.0000000,1.16
347,AAA10Y,2019-05-02 00:00:00.0000000,1.21
348,AAA10Y,2019-05-03 00:00:00.0000000,1.19
349,AAA10Y,2019-05-06 00:00:00.0000000,1.21
350,AAA10Y,2019-05-07 00:00:00.0000000,1.25
351,AAA10Y,2019-05-08 00:00:00.0000000,1.21
352,AAA10Y,2019-05-09 00:00:00.0000000,1.28
353,AAA10Y,2019-05-10 00:00:00.0000000,1.25
354,AAA10Y,2019-05-13 00:00:00.0000000,1.31
