series_id,date,value
AAA10Y,01-02-18,1.06
AAA10Y,01-03-18,1.06
AAA10Y,01-04-18,1.01
AAA10Y,01-05-18,1.03
AAA10Y,01-08-18,1.01
AAA10Y,01-09-18,1.02
AAA10Y,01-10-18,1.03
AAA10Y,01-11-18,0.99
AAA10Y,01-12-18,0.95
AAA10Y,01-15-18,NULL
AAA10Y,01-16-18,0.95
AAA10Y,01-17-18,0.93
AAA10Y,01-18-18,0.92
AAA10Y,01-19-18,0.94
AAA10Y,01-22-18,0.94
AAA10Y,01-23-18,0.94
AAA10Y,01-24-18,0.96
AAA10Y,01-25-18,0.92
AAA10Y,01-26-18,0.92
AAA10Y,01-29-18,0.89
AAA10Y,01-30-18,0.9
AAA10Y,01-31-18,0.87
AAA10Y,02-01-18,0.84
AAA10Y,02-02-18,0.89
AAA10Y,02-05-18,0.93
AAA10Y,02-06-18,0.91
AAA10Y,02-07-18,0.92
AAA10Y,02-08-18,0.94
AAA10Y,02-09-18,0.99
AAA10Y,02-12-18,0.97
AAA10Y,02-13-18,1.01
AAA10Y,02-14-18,0.97
AAA10Y,02-15-18,0.97
AAA10Y,02-16-18,1
AAA10Y,02-19-18,NULL
AAA10Y,02-20-18,1.01
AAA10Y,02-21-18,1.01
AAA10Y,02-22-18,0.98
AAA10Y,02-23-18,1.01
AAA10Y,02-26-18,1.02
AAA10Y,02-27-18,1
AAA10Y,02-28-18,0.97
AAA10Y,03-01-18,1.01
AAA10Y,03-02-18,1.04
AAA10Y,03-05-18,1.03
AAA10Y,03-06-18,1
AAA10Y,03-07-18,1.01
AAA10Y,03-08-18,1.02
AAA10Y,03-09-18,1
AAA10Y,03-12-18,1
AAA10Y,03-13-18,1.02
AAA10Y,03-14-18,1.04
AAA10Y,03-15-18,1.04
AAA10Y,03-16-18,1.02
AAA10Y,03-19-18,1
AAA10Y,03-20-18,0.98
AAA10Y,03-21-18,1.02
AAA10Y,03-22-18,1.03
AAA10Y,03-23-18,1.06
AAA10Y,03-26-18,1.04
AAA10Y,03-27-18,1.05
AAA10Y,03-28-18,1.05
AAA10Y,03-29-18,1.03
AAA10Y,03-30-18,NULL
AAA10Y,04-02-18,1.05
AAA10Y,04-03-18,1.02
AAA10Y,04-04-18,1.02
AAA10Y,04-05-18,1
AAA10Y,04-06-18,1.01
AAA10Y,04-09-18,0.98
AAA10Y,04-10-18,0.97
AAA10Y,04-11-18,0.96
AAA10Y,04-12-18,0.96
AAA10Y,04-13-18,0.97
AAA10Y,04-16-18,0.96
AAA10Y,04-17-18,0.94
AAA10Y,04-18-18,0.94
AAA10Y,04-19-18,0.97
AAA10Y,04-20-18,0.94
AAA10Y,04-23-18,0.96
AAA10Y,04-24-18,0.94
AAA10Y,04-25-18,0.96
AAA10Y,04-26-18,0.99
AAA10Y,04-27-18,0.98
AAA10Y,04-30-18,1
AAA10Y,05-01-18,1.02
AAA10Y,05-02-18,1.02
AAA10Y,05-03-18,1.06
AAA10Y,05-04-18,1.06
AAA10Y,05-07-18,1.06
AAA10Y,05-08-18,1.05
AAA10Y,05-09-18,1.04
AAA10Y,05-10-18,1.02
AAA10Y,05-11-18,1.01
AAA10Y,05-14-18,0.99
AAA10Y,05-15-18,0.99
AAA10Y,05-16-18,0.97
AAA10Y,05-17-18,0.97
AAA10Y,05-18-18,0.98
AAA10Y,05-21-18,0.99
AAA10Y,05-22-18,0.99
AAA10Y,05-23-18,1.01
AAA10Y,05-24-18,1
AAA10Y,05-25-18,1
AAA10Y,05-28-18,NULL
AAA10Y,05-29-18,1.08
AAA10Y,05-30-18,1.05
AAA10Y,05-31-18,1.02
AAA10Y,06-01-18,1.03
AAA10Y,06-04-18,1.02
AAA10Y,06-05-18,1.03
AAA10Y,06-06-18,1.03
AAA10Y,06-07-18,1.02
AAA10Y,06-08-18,1.03
AAA10Y,06-11-18,1
AAA10Y,06-12-18,1.01
AAA10Y,06-13-18,1
AAA10Y,06-14-18,0.98
AAA10Y,06-15-18,0.98
AAA10Y,06-18-18,1.02
AAA10Y,06-19-18,1.04
AAA10Y,06-20-18,1.06
AAA10Y,06-21-18,1.08
AAA10Y,06-22-18,1.09
AAA10Y,06-25-18,1.11
AAA10Y,06-26-18,1.1
AAA10Y,06-27-18,1.1
AAA10Y,06-28-18,1.09
AAA10Y,06-29-18,1.08
AAA10Y,07-02-18,1.06
AAA10Y,07-03-18,1.07
AAA10Y,07-04-18,NULL
AAA10Y,07-05-18,1.05
AAA10Y,07-06-18,1.06
AAA10Y,07-09-18,0.99
AAA10Y,07-10-18,0.98
AAA10Y,07-11-18,0.97
AAA10Y,07-12-18,0.96
AAA10Y,07-13-18,0.97
AAA10Y,07-16-18,0.97
AAA10Y,07-17-18,0.98
AAA10Y,07-18-18,0.97
AAA10Y,07-19-18,0.99
AAA10Y,07-20-18,1.01
AAA10Y,07-23-18,1
AAA10Y,07-24-18,0.96
AAA10Y,07-25-18,0.96
AAA10Y,07-26-18,0.94
AAA10Y,07-27-18,0.94
AAA10Y,07-30-18,0.93
AAA10Y,07-31-18,0.93
AAA10Y,08-01-18,0.94
AAA10Y,08-02-18,0.93
AAA10Y,08-03-18,0.94
AAA10Y,08-06-18,0.93
AAA10Y,08-07-18,0.92
AAA10Y,08-08-18,0.98
AAA10Y,08-09-18,0.99
AAA10Y,08-10-18,0.99
AAA10Y,08-13-18,1.04
AAA10Y,08-14-18,1.03
AAA10Y,08-15-18,1.02
AAA10Y,08-16-18,1.02
AAA10Y,08-17-18,1
AAA10Y,08-20-18,1.01
AAA10Y,08-21-18,1
AAA10Y,08-22-18,1.02
AAA10Y,08-23-18,1.02
AAA10Y,08-24-18,1.01
AAA10Y,08-27-18,1.01
AAA10Y,08-28-18,1.02
AAA10Y,08-29-18,0.99
AAA10Y,08-30-18,1.04
AAA10Y,08-31-18,1.05
AAA10Y,09-03-18,NULL
AAA10Y,09-04-18,1.08
AAA10Y,09-05-18,1.07
AAA10Y,09-06-18,1.06
AAA10Y,09-07-18,1.05
AAA10Y,09-10-18,1.01
